,Coin Pair,Price Difference,Percent Difference,Price Average,Cheap Exchange,Expensive Exchange,Min,Max
0,monero-bitcoin,0.00017484999999999896,1.1259702719592175,0.015528829166666668,cryptopia,kraken,0.01541815,0.015593
1,ethereum-bitcoin,0.00043137000000000036,0.5204685456207596,0.08288108928571428,cryptopia,kraken,0.08253763,0.082969
2,iconomi-bitcoin,8.200000000000004e-05,7.183530442400354,0.0011415,kraken,hitbtc,0.001098,0.00118
3,monero-bitcoin,0.00011567000000000001,0.7455441859166037,0.015514841666666666,cryptopia,hitbtc,0.01541833,0.015534
4,burst-bitcoin,9.999999999999989e-08,2.4937655860349097,4.0100000000000006e-06,poloniex,bittrex,3.96e-06,4.06e-06
5,bytecoin-bitcoin,1.5e-07,29.152630215081626,5.145333333333333e-07,cryptopia,poloniex,4.6e-07,6.1e-07
6,gamecredits-bitcoin,5.519999999999961e-06,0.5855490317755778,0.000942705,cryptopia,poloniex,0.00094448,0.00095
7,decred-bitcoin,5.611999999999978e-05,0.5487527332113535,0.010226828333333333,poloniex,bittrex,0.01024458,0.0103007
8,dnotes-bitcoin,3.000000000000005e-07,1.1139992573338304,2.693e-05,poloniex,cryptopia,2.68e-05,2.71e-05
9,ethereum-bitcoin,0.0011544799999999994,1.3907437982081914,0.08301169500000001,cryptopia,bitfinex,0.08230052,0.083455
10,gnosis-bitcoin,0.0005300000000000027,0.623513325120921,0.085002193,cryptopia,poloniex,0.08447613,0.08500613
11,monero-bitcoin,8.562999999999973e-05,0.5523372553349286,0.015503209166666669,cryptopia,kraken,0.01541837,0.015504
12,pascalcoin-bitcoin,3.683999999999998e-05,17.13966688378151,0.00021494,poloniex,cryptopia,0.00019298,0.00022982
13,pinkcoin-bitcoin,9.999999999999989e-08,1.992031872509958,5.02e-06,cryptopia,poloniex,4.95e-06,5.05e-06
14,ripple-tether,0.0012734000000000079,0.6446564220852273,0.1975315775,poloniex,bittrex,0.1967266,0.198
15,siacoin-bitcoin,9.999999999999989e-08,2.6678523788350352,3.7483333333333327e-06,bittrex,cryptopia,3.71e-06,3.81e-06
16,vcash-bitcoin,5.739999999999996e-06,4.791018926194099,0.0001198075,poloniex,bittrex,0.00011626,0.000122
17,viacoin-bitcoin,4.830000000000047e-06,1.1977087311230807,0.00040326999999999995,bittrex,poloniex,0.00040196,0.00040679
