Coin Pair,Price Difference,Percent Difference,Price Average,Cheap Exchange,Expensive Exchange,Min,Max
ethereum-bitcoin,0.0009756,1.18692393,0.082195664,cryptopia,bitfinex,0.0815204,0.082496
litecoin-ethereum,4.86316001,184.7677073,2.632040025,bittrex,xbtce,0.19949999,5.06266
litecoin-bitcoin,0.0001207,0.740517634,0.016299409,cryptopia,poloniex,0.01620742,0.01632812
bytecoin-bitcoin,1.20E-07,23.0673117,5.20E-07,cryptopia,poloniex,4.80E-07,6.00E-07
ethereum-bitcoin,0.00052,0.631954187,0.082284446,cryptopia,bittrex,0.082,0.08252
litecoin-bitcoin,0.00011305,0.69365233,0.01629779,cryptopia,poloniex,0.01620742,0.01632047
nxt-bitcoin,3.60E-07,0.786741941,4.58E-05,bittrex,hitbtc,4.56E-05,4.60E-05
iconomi-bitcoin,2.50E-05,1.950078003,0.001282,kraken,hitbtc,0.00127,0.001295
litecoin-bitcoin,0.00012757,0.781380979,0.016326223,cryptopia,poloniex,0.01624274,0.01637031
dash-bitcoin,0.00054601,0.761825591,0.07167126,cryptopia,poloniex,0.07143892,0.07198493
dash-bitcoin,0.00054603,0.761115332,0.07174077,cryptopia,poloniex,0.07143892,0.07198495
iconomi-bitcoin,2.20E-05,1.714731099,0.001283,kraken,hitbtc,0.001273,0.001295
zcash-bitcoin,0.00043759,0.569983026,0.076772462,bittrex,cryptopia,0.07640345,0.07684104
burst-bitcoin,5.00E-08,1.302083333,3.84E-06,poloniex,bittrex,3.81E-06,3.86E-06
bytecoin-bitcoin,1.09E-07,20.96934363,5.20E-07,hitbtc,poloniex,4.81E-07,5.90E-07
dash-bitcoin,0.00106178,1.476425363,0.071915589,cryptopia,poloniex,0.07118825,0.07225003
digibyte-bitcoin,4.00E-08,0.570477775,7.01E-06,bittrex,poloniex,6.96E-06,7.00E-06
gamecredits-bitcoin,8.80E-06,0.981173729,0.000896885,cryptopia,poloniex,0.00089646,0.00090526
zcash-bitcoin,0.00043887,0.57142642,0.076802539,bittrex,cryptopia,0.07640216,0.07684103
augur-bitcoin,4.74E-05,0.611828567,0.007745634,cryptopia,poloniex,0.00773617,0.00778356
maidsafecoin-bitcoin,8.70E-07,0.647666787,0.000134328,poloniex,cryptopia,0.00013382,0.00013469
pascalcoin-bitcoin,1.61E-05,7.930674206,0.000203388,poloniex,cryptopia,0.00019278,0.00020891
pinkcoin-bitcoin,7.00E-08,1.373895976,5.10E-06,cryptopia,poloniex,5.09E-06,5.16E-06
siacoin-bitcoin,6.00E-08,1.626751017,3.69E-06,bittrex,poloniex,3.67E-06,3.73E-06
vcash-bitcoin,8.25E-06,7.04826997,0.00011705,poloniex,bittrex,0.00011196,0.00012021
vericoin-bitcoin,1.40E-06,1.310350207,0.000106842,bittrex,cryptopia,0.00010629,0.00010769
dash-bitcoin,0.00066809,0.917512216,0.072815379,cryptopia,bittrex,0.07242449,0.07309258
litecoin-ethereum,4.88597105,184.5007353,2.648212238,bittrex,xbtce,0.19948895,5.08546
peercoin-bitcoin,6.43E-06,0.88944681,0.000722921,cryptopia,poloniex,0.00072119,0.00072762
bytecoin-bitcoin,1.11E-07,21.53985098,5.17E-07,hitbtc,poloniex,4.79E-07,5.90E-07
dash-bitcoin,0.00061601,0.846450959,0.072775628,cryptopia,bittrex,0.07242449,0.0730405
litecoin-bitcoin,8.24E-05,0.507669042,0.016234986,cryptopia,bitfinex,0.01618658,0.016269
ethereum-bitcoin,0.00074083,0.898664072,0.082436811,cryptopia,kraken,0.08191017,0.082651
dash-bitcoin,0.000439,0.601210095,0.073019399,bitfinex,kraken,0.072961,0.0734
ethereum-bitcoin,0.00042083,0.511725697,0.082237418,cryptopia,kraken,0.08191017,0.082331
burst-bitcoin,1.70E-07,4.395604396,3.87E-06,poloniex,bittrex,3.78E-06,3.95E-06
bytecoin-bitcoin,1.09E-07,21.15917736,5.17E-07,hitbtc,poloniex,4.81E-07,5.90E-07
litecoin-tether,0.41474149,0.930790228,44.55799787,cryptopia,bittrex,44.37625851,44.791
nexium-bitcoin,6.60E-07,0.911822609,7.24E-05,bittrex,poloniex,7.20E-05,7.27E-05
pascalcoin-bitcoin,1.87E-05,9.323986104,0.000200773,poloniex,cryptopia,0.0001902,0.00020892
peercoin-bitcoin,9.10E-06,1.259563513,0.000722473,cryptopia,poloniex,0.00071852,0.00072762
pinkcoin-bitcoin,6.00E-08,1.178396072,5.09E-06,cryptopia,poloniex,5.09E-06,5.15E-06
siacoin-bitcoin,4.00E-08,1.077682982,3.71E-06,bittrex,poloniex,3.69E-06,3.73E-06
steem-bitcoin,5.60E-06,1.002572075,0.000558563,poloniex,hitbtc,0.0005544,0.00056
vcash-bitcoin,8.68E-06,7.422133863,0.000116948,poloniex,bittrex,0.00011153,0.00012021
vericoin-bitcoin,8.20E-07,0.766856822,0.00010693,poloniex,cryptopia,0.00010686,0.00010768
litecoin-ethereum,4.86559329,184.414073,2.638406717,bittrex,xbtce,0.19947671,5.06507
bytecoin-bitcoin,1.17E-07,22.74210747,5.16E-07,hitbtc,poloniex,4.73E-07,5.90E-07
steem-bitcoin,4.27E-06,0.76406907,0.00055885,poloniex,hitbtc,0.00055573,0.00056
iconomi-bitcoin,4.00E-05,3.223207091,0.001241,hitbtc,kraken,0.0013,0.00134
bytecoin-bitcoin,1.12E-07,21.67630058,5.19E-07,hitbtc,poloniex,4.78E-07,5.90E-07
iconomi-bitcoin,3.90E-05,3.197376512,0.00121975,hitbtc,kraken,0.0012,0.001239
